ticket_id,text,category,urgency
1192,I noticed an issue with my account - the amount doesn't match what I expected.,Billing & Payments,Medium
1193,I have a question for you.,Product Inquiry,Low
1194,The shipment included an incorrect item.,Returns & Refunds,Medium
1195,What can you tell me about your company? Looking forward to your response.,General/Irrelevant,Medium
1196,I have an issue with my recent order.,Technical Support,Medium
1197,There's a discrepancy in my billing statement. I'm a longtime customer.,Billing & Payments,Medium
1198,I wanted to ask about something in general.,General/Irrelevant,Low
1199,Can you help me out?,General/Irrelevant,Medium
1200,i have an issue with my recent purchase.,Billing & Payments,Medium
1201,i need assistance with my account.,Account Management,High
1202,"What are the main features of this product? By the way, the weather is nice today.",Product Inquiry,Medium
1203,i need to update my payment information.,Billing & Payments,High
1204,Can you help me understand this transaction from last week?,Billing & Payments,Medium
1205,Can you help me with some information?,Account Management,Low
1206,I'd like to provide feedback about something.,General/Irrelevant,Medium
1207,the feature you mentioned isn't working as described.,Technical Support,Medium
1208,How do I verify my email address?,Account Management,Medium
1209,can i exchange this for a different option?,Returns & Refunds,Medium
1210,i'd like to return this item and get my money back.,Returns & Refunds,Medium
1211,Can I get a refund for this purchase?,Returns & Refunds,Medium
1212,Can you help me understand this transaction from last week? Looking forward to your response.,Billing & Payments,Medium
1213,There's a problem I need help with.,Billing & Payments,High
1214,What's the difference between these product versions?,Product Inquiry,Medium
1215,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1216,Can you help me with my purchase?,Product Inquiry,Medium
1217,I have an issue with my account.,Account Management,Medium
1218,What options are available for customization?,Product Inquiry,Medium
1219,I need to update my payment information.,Billing & Payments,High
1220,I need to send this back as it's not what I expected. Thanks for your assistance.,Returns & Refunds,High
1221,How do I verify my email address?,Account Management,Medium
1222,The feature you mentioned isn't working as described.,Returns & Refunds,Medium
1223,I need assistance regarding something.,Product Inquiry,High
1224,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1225,The service seems to be down or experiencing technical difficulties. Looking forward to your response.,Technical Support,Medium
1226,there's a discrepancy in my billing statement.,Billing & Payments,Medium
1227,something is wrong with my order. i hope you're having a good day.,Billing & Payments,Medium
1228,My subscription hasn't been renewed properly.,Billing & Payments,Medium
1229,what options are available for customization?,Product Inquiry,Medium
1230,this product doesn't meet my expectations and i'd like to return it.,Billing & Payments,Medium
1231,Do you have information about what's included in the package?,Product Inquiry,Low
1232,Is this item still being manufactured?,Product Inquiry,Medium
1233,My credit card declined but I was still charged.,Product Inquiry,Medium
1234,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1235,Can you provide more details about the product?,Product Inquiry,Medium
1236,I received a damaged item and would like to return it.,Returns & Refunds,Medium
1237,i need assistance regarding something.,Account Management,High
1238,I need to change my account password. Thanks for your assistance.,Account Management,High
1239,I'd like to return this purchase for a refund.,Returns & Refunds,Medium
1240,i'm looking for some general information.,General/Irrelevant,Low
1241,Can you help me with some information?,Product Inquiry,Low
1242,What options are available for customization? Looking forward to your response.,Product Inquiry,Medium
1243,i'm interested in learning more about your services. thanks for your assistance.,General/Irrelevant,Low
1244,i didn't authorize this charge on my account.,Product Inquiry,Low
1245,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1246,The page loads extremely slowly for me.,General/Irrelevant,Medium
1247,How do I change my subscription settings?,Billing & Payments,Medium
1248,There's a discrepancy in my billing statement.,Billing & Payments,Medium
1249,There's a problem I need help with.,Technical Support,High
1250,I'm having trouble logging into my account.,General/Irrelevant,Medium
1251,There seems to be a problem with the recent charge on my account.,Returns & Refunds,Medium
1252,"I'd like to know more about your latest product offerings. By the way, the weather is nice today.",Product Inquiry,High
1253,The application keeps crashing whenever I try to use this feature. I appreciate your help with this.,Technical Support,Low
1254,I forgot my login credentials.,Account Management,Medium
1255,I can't seem to access the platform from my device.,Technical Support,Medium
1256,Is there a newer version available?,Product Inquiry,Medium
1257,What's the difference between these product versions? I hope you're having a good day.,Product Inquiry,Medium
1258,The item I received wasn't what I ordered.,Returns & Refunds,Medium
1259,I'm getting error messages when trying to access certain features.,Technical Support,Medium
1260,What can you tell me about your company? I appreciate your help with this.,General/Irrelevant,Medium
1261,I need to change my account password. I'm a longtime customer.,Account Management,High
1262,Can you help me with my account issue?,Account Management,Medium
1263,can you tell me more about the specifications?,Product Inquiry,Medium
1264,Can you help me with some information?,Product Inquiry,Low
1265,i'm looking for some general information.,General/Irrelevant,Low
1266,Can I exchange this for a different option?,Returns & Refunds,Medium
1267,Is this item still being manufactured?,Product Inquiry,Medium
1268,the product arrived defective and doesn't work.,Returns & Refunds,Medium
1269,Can you help me with some information?,General/Irrelevant,Low
1270,"something's wrong with my access. by the way, the weather is nice today.",Account Management,Medium
1271,There's a bug in the system that prevents me from completing my task. Looking forward to your response.,Technical Support,Medium
1272,Just checking in to see how things are going. Looking forward to your response.,General/Irrelevant,Medium
1273,The page loads extremely slowly for me.,Technical Support,Medium
1274,I think my account has been compromised.,Account Management,Medium
1275,I have an issue with my recent order.,Returns & Refunds,Medium
1276,"I need assistance with something. By the way, the weather is nice today.",General/Irrelevant,High
1277,the shipment included an incorrect item. i'm a longtime customer.,Returns & Refunds,Medium
1278,This product doesn't meet my expectations and I'd like to return it.,Returns & Refunds,Medium
1279,Do you have information about what's included in the package? I appreciate your help with this.,Product Inquiry,Low
1280,This product doesn't meet my expectations and I'd like to return it. Thanks for your assistance.,Returns & Refunds,Low
1281,I need to update my payment information. I appreciate your help with this.,Billing & Payments,High
1282,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1283,Can you provide more details about the product?,Product Inquiry,Medium
1284,I need to change my account password.,Account Management,High
1285,Is there a newer version available?,Product Inquiry,Medium
1286,i'm reaching out about something.,General/Irrelevant,Medium
1287,I think my account has been compromised. Looking forward to your response.,Account Management,Medium
1288,i didn't authorize this charge on my account.,Billing & Payments,Medium
1289,I need help accessing my account.,Account Management,High
1290,i'd like to return this item and get my money back. this is my first time contacting support.,Returns & Refunds,Medium
1291,Can you help me with my purchase?,Billing & Payments,Medium
1292,The service seems to be down or experiencing technical difficulties.,Technical Support,Medium
1293,I have a question that might not fit your usual categories.,General/Irrelevant,Low
1294,There's a bug in the system that prevents me from completing my task.,Technical Support,Medium
1295,"Can you help me understand this transaction from last week? By the way, the weather is nice today.",Billing & Payments,Medium
1296,How do I verify my email address?,Account Management,Medium
1297,i'd like to know more about your latest product offerings.,Product Inquiry,High
1298,I need assistance with something.,General/Irrelevant,High
1299,i'm unable to reset my password. thanks for your assistance.,Account Management,Low
1300,there's a problem i need help with. i'm a longtime customer.,Technical Support,Medium
1301,The service seems to be down or experiencing technical difficulties. Thanks for your assistance.,Technical Support,Low
1302,Can you help me resolve this problem?,Technical Support,High
1303,Can I get a refund for this purchase? I appreciate your help with this.,Returns & Refunds,Medium
1304,I didn't authorize this charge on my account.,Billing & Payments,Medium
1305,can you process a refund for my recent purchase? thanks for your assistance.,Billing & Payments,Low
1306,Is this item available in different sizes or colors?,Product Inquiry,Medium
1307,the page loads extremely slowly for me.,Technical Support,Medium
1308,There's a problem I need help with.,Technical Support,High
1309,Something isn't functioning correctly in the application. I'm a longtime customer.,Technical Support,Medium
1310,The service seems to be down or experiencing technical difficulties.,General/Irrelevant,Medium
1311,I need to send this back as it's not what I expected.,Returns & Refunds,High
1312,I need to update my payment information. Looking forward to your response.,Billing & Payments,High
1313,What can you tell me about your company?,General/Irrelevant,Medium
1314,I have an issue with my account.,Account Management,Medium
1315,There seems to be a problem with the recent charge on my account.,General/Irrelevant,Medium
1316,The page loads extremely slowly for me. I'm a longtime customer.,Technical Support,Medium
1317,The item I received wasn't what I ordered.,Returns & Refunds,Medium
1318,I need assistance with something.,Product Inquiry,High
1319,i'm reaching out about something. i appreciate your help with this.,General/Irrelevant,Medium
1320,There's a discrepancy in my billing statement.,Billing & Payments,Medium
1321,can you help me with some information? i'm a longtime customer.,Product Inquiry,Low
1322,i need assistance with something.,General/Irrelevant,High
1323,This product doesn't meet my expectations and I'd like to return it.,Returns & Refunds,Medium
1324,The item I received wasn't what I ordered.,Returns & Refunds,Medium
1325,I noticed an issue with my account - the amount doesn't match what I expected.,Billing & Payments,Medium
1326,i need assistance regarding something.,Product Inquiry,High
1327,is there a newer version available?,Product Inquiry,Medium
1328,I have an issue with my account - something isn't working right. This is my first time contacting support.,Technical Support,Medium
1329,How do I change my subscription settings?,Billing & Payments,Medium
1330,how do i change my subscription settings?,Billing & Payments,High
1331,The product arrived defective and doesn't work.,Returns & Refunds,Medium
1332,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1333,I need assistance with an issue. Thanks for your assistance.,Technical Support,High
1334,i need assistance with something.,General/Irrelevant,High
1335,Can you provide more details about the product?,Product Inquiry,Medium
1336,I have an issue with my recent purchase.,Technical Support,Medium
1337,i need assistance with something.,General/Irrelevant,High
1338,Something is wrong with what I received. Looking forward to your response.,Returns & Refunds,Medium
1339,i'd like to return this purchase for a refund.,Returns & Refunds,Medium
1340,The shipment included an incorrect item.,Returns & Refunds,Medium
1341,I need assistance regarding something. I'm a longtime customer.,Product Inquiry,High
1342,Just checking in to see how things are going. Thanks for your assistance.,General/Irrelevant,Low
1343,i'd like to provide feedback about something.,General/Irrelevant,Medium
1344,What features are included in this version?,Product Inquiry,Medium
1345,what options are available for customization?,Product Inquiry,Medium
1346,Something isn't functioning correctly in the application.,Billing & Payments,Medium
1347,"My credit card declined but I was still charged. By the way, the weather is nice today.",General/Irrelevant,Medium
1348,I need assistance regarding something. Thanks for your assistance.,Product Inquiry,High
1349,I'd like to return this purchase for a refund.,Returns & Refunds,Medium
1350,My subscription hasn't been renewed properly.,Account Management,Medium
1351,i have a question about an item.,Product Inquiry,Low
1352,the wrong item was sent to me.,Returns & Refunds,Medium
1353,is this item available in different sizes or colors?,Product Inquiry,Medium
1354,i need to change my account password.,Account Management,High
1355,I didn't authorize this charge on my account.,Billing & Payments,Medium
1356,"I need assistance with something. By the way, the weather is nice today.",General/Irrelevant,High
1357,I'm looking for some general information.,General/Irrelevant,Low
1358,there's a bug in the system that prevents me from completing my task.,Account Management,Medium
1359,I have a question about an item.,Product Inquiry,Low
1360,Is there a newer version available?,Product Inquiry,Medium
1361,I'd like to return this item and get my money back.,Returns & Refunds,Medium
1362,i'm having trouble connecting to the service.,Technical Support,Medium
1363,I have an issue with my recent order. I appreciate your help with this.,Returns & Refunds,Medium
1364,Can I exchange this for a different option? Looking forward to your response.,Returns & Refunds,Medium
1365,I need to send this back as it's not what I expected.,Returns & Refunds,High
1366,There's a problem I need help with. This is my first time contacting support.,Technical Support,High
1367,I received a damaged item and would like to return it.,Returns & Refunds,Medium
1368,Something isn't functioning correctly in the application. This is my first time contacting support.,Account Management,Medium
1369,do you have any recommendations for me?,General/Irrelevant,Medium
1370,what are the main features of this product?,Product Inquiry,Medium
1371,I need to update my payment information. I appreciate your help with this.,Billing & Payments,High
1372,i noticed an issue with my account - the amount doesn't match what i expected. this is my first time contacting support.,Billing & Payments,Medium
1373,"Can you provide more details about the product? By the way, the weather is nice today.",Product Inquiry,Medium
1374,Something isn't functioning correctly in the application.,Technical Support,Medium
1375,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1376,i noticed an issue with my account - the amount doesn't match what i expected.,Billing & Payments,Medium
1377,I need help accessing my account. Looking forward to your response.,Account Management,High
1378,I need assistance with something.,General/Irrelevant,High
1379,the system returned an unexpected error code.,Technical Support,Medium
1380,i'm getting error messages when trying to access certain features.,General/Irrelevant,Medium
1381,the shipment included an incorrect item.,Returns & Refunds,Medium
1382,can you provide more details about the product?,Billing & Payments,Medium
1383,I'm unable to reset my password.,Technical Support,Medium
1384,can you provide more details about the product?,Product Inquiry,Medium
1385,The application keeps crashing whenever I try to use this feature.,Technical Support,Low
1386,what's the difference between these product versions?,Product Inquiry,Medium
1387,the system returned an unexpected error code. i hope you're having a good day.,Technical Support,Medium
1388,I have a question about an item.,Product Inquiry,Low
1389,what options are available for customization?,Product Inquiry,Medium
1390,I need assistance with my account.,Account Management,High
1391,Something is wrong with my order. I hope you're having a good day.,Billing & Payments,High
1392,The wrong item was sent to me.,Returns & Refunds,Medium
1393,The shipment included an incorrect item.,Returns & Refunds,Medium
1394,Can you help me out? I hope you're having a good day.,General/Irrelevant,Medium
1395,Can I exchange this for a different option?,Returns & Refunds,Medium
1396,what options are available for customization? thanks for your assistance.,Product Inquiry,Low
1397,There's a problem I need help with.,Technical Support,High
1398,My credit card declined but I was still charged.,Returns & Refunds,Medium
1399,"can you help me understand this transaction from last week? by the way, the weather is nice today.",Returns & Refunds,Medium
1400,"There seems to be a problem with the recent charge on my account. By the way, the weather is nice today.",Billing & Payments,Medium
1401,can you help me out? looking forward to your response.,General/Irrelevant,Medium
1402,Can you help me with some information?,Product Inquiry,Low
1403,"Hi there, just wanted to reach out. Looking forward to your response.",General/Irrelevant,Medium
1404,i wanted to ask about something in general.,General/Irrelevant,Low
1405,"Can you help me set up two-factor authentication? By the way, the weather is nice today.",Account Management,Medium
1406,Can you help me with my account issue? This is my first time contacting support.,General/Irrelevant,Medium
1407,My credit card declined but I was still charged.,Billing & Payments,Medium
1408,I can't seem to access the platform from my device.,Technical Support,Medium
1409,i need assistance with an issue. looking forward to your response.,Billing & Payments,High
1410,Can I change the email associated with my account?,Account Management,Medium
1411,i need assistance regarding something.,Product Inquiry,High
1412,can you provide some information about something?,General/Irrelevant,Low
1413,i'm looking for more details about something.,Product Inquiry,Medium
1414,Something is wrong with my order.,Billing & Payments,Medium
1415,Can you help me with some information?,Technical Support,Low
1416,there's a problem i need help with.,Technical Support,High
1417,I need to send this back as it's not what I expected.,Returns & Refunds,High
1418,I have an issue with my account.,Account Management,Medium
1419,The amount I was charged seems incorrect. I hope you're having a good day.,Billing & Payments,Medium
1420,"the system returned an unexpected error code. by the way, the weather is nice today.",Technical Support,Medium
1421,i'm having trouble connecting to the service.,Technical Support,Medium
1422,what are the main features of this product?,Product Inquiry,Medium
1423,What are the main features of this product?,Product Inquiry,Medium
1424,I need help accessing my account.,Account Management,High
1425,the page loads extremely slowly for me.,Technical Support,High
1426,can i get a refund for this purchase? i hope you're having a good day.,Returns & Refunds,Medium
1427,I'm interested in learning more about your services. I hope you're having a good day.,General/Irrelevant,Medium
1428,The application froze while I was using it.,Technical Support,Medium
1429,I need to change my account password.,Account Management,High
1430,I'm experiencing performance issues with the platform. Looking forward to your response.,Technical Support,Medium
1431,Can you provide more details about the product?,Product Inquiry,Medium
1432,I need to change my account password.,Account Management,High
1433,Can you help me with some information?,General/Irrelevant,Low
1434,I forgot my login credentials. I'm a longtime customer.,Returns & Refunds,Medium
1435,I have an issue with my recent purchase.,Billing & Payments,Medium
1436,what accessories are compatible with this product?,Product Inquiry,Medium
1437,I have an issue with my account - something isn't working right.,Technical Support,Medium
1438,the wrong item was sent to me.,Returns & Refunds,Medium
1439,Something is wrong with what I received. Looking forward to your response.,Returns & Refunds,Medium
1440,i have a general inquiry for your team.,General/Irrelevant,Low
1441,What are the main features of this product?,Product Inquiry,Medium
1442,Can you help me recover my account access? Thanks for your assistance.,Account Management,Low
1443,the item i received wasn't what i ordered.,Returns & Refunds,Medium
1444,What accessories are compatible with this product?,Product Inquiry,Medium
1445,"I'd like to return this purchase for a refund. By the way, the weather is nice today.",Returns & Refunds,Medium
1446,"I need assistance with an issue. By the way, the weather is nice today.",Billing & Payments,High
1447,I think my account has been compromised. Thanks for your assistance.,Account Management,Low
1448,i have a question that might not fit your usual categories.,General/Irrelevant,Low
1449,"Hi there, just wanted to reach out. By the way, the weather is nice today.",General/Irrelevant,Medium
1450,the wrong item was sent to me.,Returns & Refunds,Medium
1451,I need assistance with an issue. Looking forward to your response.,Billing & Payments,High
1452,I have an issue with my recent order. Thanks for your assistance.,Returns & Refunds,Low
1453,There's a discrepancy in my billing statement. Looking forward to your response.,Billing & Payments,Medium
1454,The shipment included an incorrect item.,Returns & Refunds,Medium
1455,How do I change my subscription settings? I'm a longtime customer.,Billing & Payments,Medium
1456,"I'm having trouble logging into my account. By the way, the weather is nice today.",Account Management,Medium
1457,I was charged multiple times for the same order.,Billing & Payments,Medium
1458,I have an issue with my account - something isn't working right.,Technical Support,Medium
1459,I have a question for you.,General/Irrelevant,Low
1460,This product doesn't meet my expectations and I'd like to return it. Looking forward to your response.,Returns & Refunds,Medium
1461,i'm reaching out about something. looking forward to your response.,General/Irrelevant,Medium
